Klasifikasi,KlasifikasiId,TajukLatihan,TajukLatihanId,TempatLatihanId,TempatLatihan,JumlahJam,Jabatan,JabatanId,SkorPenilaian,SkorKlasifikasi
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,FAKULTI SAINS KOMPUTER DAN TEKNOLOGI MAKLUMAT,14,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,SEKOLAH PERNIAGAAN DAN EKONOMI,28,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,FAKULTI EKOLOGI MANUSIA,3,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,FAKULTI BIOTEKNOLOGI DAN SAINS BIOMOLEKUL,2,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,FAKULTI SAINS,12,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,FAKULTI SAINS,12,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,FAKULTI PERUBATAN DAN SAINS KESIHATAN,9,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,JABATAN SAINS HAIWAN DAN PERIKANAN,18,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,FAKULTI BAHASA MODEN DAN KOMUNIKASI,1,4.776,2
PBP,0,WACANA - INSTRUCTIONAL LEADERSHIP OF HIGHER EDUCATION TEACHING AND LEARNING & MAJLIS PENUTUPAN BULAN PENDIDIK UPM 2020,23,0,PLATFORM DALAM TALIAN: ZOOM & YOUTUBE,3,FAKULTI KEJURUTERAAN,4,4.776,2
